Date,Forecast,Lower_CI,Upper_CI
2026-09-01,721.8171,706.0194639289903,737.6146913444472
2026-09-02,721.6782,705.8836479142245,737.4727973982755
2026-09-03,721.54285,705.7512347622464,737.3344585971286
2026-09-04,721.4109,705.6221647737087,737.1996125700413
2026-09-07,721.282,705.4960797525284,737.0678850912216
2026-09-08,721.15625,705.3730990974,736.9394009026
2026-09-09,721.0334,705.2529243115875,736.81384814935
2026-09-10,720.91364,705.1357941924798,736.6914763153327
2026-09-11,720.7969,705.0215893413823,736.5721606586177
2026-09-14,720.683,704.9101903596008,736.4557764372742
2026-09-15,720.5719,704.8015375477884,736.3422612803366
2026-09-16,720.4637,704.6956906052918,736.2316775587707
2026-09-17,720.35803,704.5923510353756,736.1237134177494
2026-09-18,720.255,704.4915785373869,736.0184312282381
2026-09-21,720.1546,704.3933731113256,735.9158309902369
2026-09-22,720.0564,704.2973168617616,735.8154761069884
2026-09-23,719.96075,704.203767984778,735.7177408042845
2026-09-24,719.8675,704.1125473823332,735.6224379692293
2026-09-25,719.7766,704.0236550544272,735.5295676018228
2026-09-28,719.6878,703.9367925043243,735.4388178472382
2026-09-29,719.6013,703.8521985294132,735.3504381893368
2026-09-30,719.51697,703.7696940316522,735.2642415152228
2026-10-01,719.43475,703.6892790110414,735.1802278248961
2026-10-02,719.3545,703.6107743695396,735.0982100054604
2026-10-05,719.27625,703.5342398064936,735.0182504278814
2026-10-06,719.19995,703.4596156225564,734.9402867211936
2026-10-07,719.1254,703.3867227196866,734.8641317725009
2026-10-08,719.0528,703.3156804965784,734.7899103237341
2026-10-09,718.982,703.2464292538847,734.7175600039278
2026-10-12,718.9129,703.1788495929112,734.6469560711513
2026-10-13,718.84546,703.1128818143108,734.5780361544392
2026-10-14,718.7797,703.0485856174305,734.510862624757
2026-10-15,718.7155,702.9857819042289,734.4452483692086
2026-10-16,718.65295,702.9245900734004,734.3813181297246
2026-10-19,718.5919,702.8648907262507,734.3189471643743
2026-10-20,718.53235,702.8066241634325,734.2580731021925
2026-10-21,718.4743,702.7498500842931,734.1987583141444
2026-10-22,718.41754,702.6943296914438,734.1407533163687
2026-10-23,718.3623,702.6403017822734,734.0843075927266
2026-10-26,718.3083,702.5874678600459,734.0291092883916
2026-10-27,718.2557,702.5360070228028,733.9753455162597
2026-10-28,718.2043,702.4857401725027,733.9228291634348
2026-10-29,718.1542,702.4367270084928,733.8716226008822
2026-10-30,718.1053,702.3889078314257,733.8216634576368
2026-11-02,718.05756,702.3422229419547,733.7728893627328
2026-11-03,718.01105,702.2967320394266,733.7253626871359
2026-11-04,717.9657,702.2523754244943,733.6790210598807
2026-11-05,717.9213,702.2089739991164,733.6336773680711
2026-11-06,717.8782,702.1667665606816,733.5895810955684
2026-11-09,717.8359,702.1253949131068,733.5463580165807
2026-11-10,717.7948,702.0852172524751,733.5043823568999
2026-11-11,717.7546,702.0458753827033,733.4632798907342
2026-11-12,717.7154,702.0075484018332,733.4232377309793
2026-11-13,717.6772,701.9701766105175,733.38419350667
2026-11-16,717.6399,701.933700309409,733.346084846841
2026-11-17,717.60345,701.8980597991606,733.3088493805269
2026-11-18,717.5679,701.8632550797723,733.2724871077277
2026-11-19,717.53314,701.8292861512441,733.2369980284434
2026-11-20,717.4994,701.7962724122704,733.2025068846046
2026-11-23,717.4665,701.7640944641566,733.1688889342809
2026-11-24,717.43414,701.7324538101673,733.1358323226452
2026-11-25,717.4028,701.7017683457323,733.1037736464552
2026-11-26,717.372,701.6716798747688,733.0723386799187
2026-11-27,717.34216,701.6424868940126,733.0418392778624
2026-11-30,717.31287,701.6138312073807,733.0119012144943
2026-12-01,717.2844,701.5860113116089,732.9828363446411
2026-12-02,717.2566,701.5587884093086,732.9543951844414
2026-12-03,717.22943,701.532222199827,732.9266401048606
2026-12-04,717.20294,701.506312683164,732.8995711058985
2026-12-07,717.1771,701.4810598593197,732.8731881875553
2026-12-08,717.15186,701.4563443295997,732.8473666079003
2026-12-09,717.12726,701.4322854926983,732.8222311088642
2026-12-10,717.1032,701.4087639499213,732.7976569485162
2026-12-11,717.0798,701.3858394006159,732.7737064978216
2026-12-14,717.0569,701.3634521454346,732.7503173858154
2026-12-15,717.0346,701.341661883725,732.7275519834625
2026-12-16,717.01276,701.3202895174454,732.7052231778671
2026-12-17,716.9915,701.2995141446373,732.6835180819252
2026-12-18,716.9707,701.2791566672593,732.6622495827407
2026-12-21,716.9505,701.2593961833527,732.6416047932098
2026-12-22,716.9307,701.2400535948761,732.6213966004364
2026-12-23,716.91144,701.2211886011768,732.6016873753857
2026-12-24,716.8926,701.2027415029075,732.5824147470925
2026-12-25,716.87415,701.1847123000683,732.5635787155567
2026-12-28,716.85626,701.1672203913535,732.545304022709
2026-12-29,716.83875,701.1500866787214,732.5274035556536
2026-12-30,716.82166,701.1333708615196,732.5099396853554
2026-12-31,716.805,701.1170729397477,732.4929124118148
2027-01-01,716.7887,701.1011332140587,732.4762593640663
2027-01-04,716.7727,701.0854919851055,732.4599181711445
2027-01-05,716.75726,701.0703880502766,732.4441383169109
2027-01-06,716.7421,701.0555826121835,732.428670317504
2027-01-07,716.7274,701.0411950695203,732.4136389148547
2027-01-08,716.713,701.027106023593,732.398919367032
2027-01-11,716.6989,701.0133154744015,732.384511674036
2027-01-12,716.6851,700.9998234219456,732.3704158358669
2027-01-13,716.67175,700.9867492649198,732.3567565944552
2027-01-14,716.6587,700.9739736046297,732.3434092078703
2027-01-15,716.6459,700.9614367417283,732.3303113051467
2027-01-18,716.6334,700.9492580749097,732.3175876282153
2027-01-19,716.62134,700.9374376041741,732.3052381770759
2027-01-20,716.60944,700.9257962314799,732.2930758388326
2027-01-21,716.5979,700.9145130548686,732.2812877263814
2027-01-22,716.58655,700.9034089762988,732.2696867268262
2027-01-25,716.57556,700.8926630938118,732.2584599530632
2027-01-26,716.56476,700.8820963093663,732.2474202921962
2027-01-27,716.5542,700.8717683223094,732.2366301151906
2027-01-28,716.544,700.8617985313354,732.2262141639771
2027-01-29,716.53394,700.8519481390557,732.2159229546943
2027-02-01,716.52423,700.8424559428589,732.2060059712036
2027-02-02,716.51465,700.8330831453563,732.1962137296437
2027-02-03,716.5054,700.8240088445896,732.1867333429104
2027-02-04,716.4963,700.8151136418643,732.1774400690732
2027-02-05,716.48737,700.8063975371804,732.1683339081321
2027-02-08,716.4787,700.7979202298851,732.1594772310524
2027-02-09,716.4703,700.7896817199785,732.150870037834
2027-02-10,716.46204,700.7816223081132,732.1424499575118
2027-02-11,716.4541,700.7738613929838,732.1343417320162
2027-02-12,716.4462,700.7661601772015,732.126295877486
2027-02-15,716.43854,700.7586380594606,732.1184371358519
2027-02-16,716.43097,700.751235340414,732.1107031361485
2027-02-17,716.4237,700.7441311181033,732.1032809912717
2027-02-18,716.4166,700.7372059938339,732.0960459592911
2027-02-19,716.4096,700.7303405689116,732.0888732982759
2027-02-22,716.40283,700.723713941378,732.081950121122
2027-02-23,716.39624,700.7172664118858,732.0752140568642
2027-02-24,716.3897,700.7108785817409,732.0685403635716
2027-02-25,716.3835,700.7047892483315,732.062178525106
2027-02-26,716.37726,700.6986999149223,732.0558166866402
2027-03-01,716.3713,700.6928493789017,732.0497043320358
2027-03-02,716.3653,700.6869988428809,732.0435919774316
2027-03-03,716.3596,700.681446803596,732.037791477654
2027-03-04,716.35406,700.6760141630053,732.0321157198072
2027-03-05,716.34863,700.6707009211091,732.0265647038909
2027-03-08,716.34326,700.6654473785599,732.0210760589401
2027-03-09,716.338,700.660313234705,732.01571215592
2027-03-10,716.33295,700.6553581888916,732.0105353657959
2027-03-11,716.328,700.6505225417725,732.0054833176025
2027-03-12,716.3232,700.6458062933476,732.0005560113399
2027-03-15,716.3184,700.6411497442699,731.9956910760426
2027-03-16,716.31384,700.6366722932337,731.9910132536413
2027-03-17,716.30927,700.6321948421975,731.98633543124
2027-03-18,716.3049,700.6278964892027,731.9818447217348
2027-03-19,716.30066,700.6237772342494,731.9775411251256
2027-03-22,716.29645,700.619657979296,731.9732375285165
2027-03-23,716.29236,700.615658123037,731.969058673838
2027-03-24,716.2884,700.6117776654722,731.9650045610903
2027-03-25,716.2845,700.6079569072547,731.9610128193078
2027-03-26,716.28064,700.6041958483843,731.9570834484907
2027-03-29,716.277,700.6006138875553,731.9533411905697
2027-03-30,716.2734,700.5970916260734,731.9496613036141
2027-03-31,716.26984,700.5936290639387,731.9460437876238
2027-04-01,716.2664,700.5902859004983,731.9425510135642
2027-04-02,716.263,700.5869427370579,731.9390582395046
2027-04-05,716.2597,700.5837189723119,731.9356902073756
2027-04-06,716.2566,700.5806743056072,731.9325092881428
2027-04-07,716.2534,700.5775699395555,731.9292659979445
2027-04-08,716.25037,700.574584972198,731.926147449677
2027-04-09,716.2474,700.5716597041876,731.9230912723749
2027-04-12,716.24445,700.5687941355244,731.9200974660381
2027-04-13,716.24164,700.5660479655555,731.917228401632
2027-04-14,716.23883,700.5633017955867,731.9143593372258
2027-04-15,716.23615,700.5606750243121,731.9116150147504
2027-04-16,716.23346,700.5580482530374,731.9088706922751
2027-04-19,716.2309,700.5555408804572,731.9062511117303
2027-04-20,716.2284,700.553093207224,731.903693902151
2027-04-21,716.22595,700.550705233338,731.901199063537
2027-04-22,716.2236,700.5483769587993,731.8987665958882
2027-04-23,716.2211,700.5459889849133,731.8962717572742
2027-04-26,716.2189,700.5437801090687,731.8939640315563
2027-04-27,716.2167,700.5416309325714,731.8917186768036
2027-04-28,716.2145,700.5394817560739,731.8894733220511
2027-04-29,716.2124,700.5374519782708,731.8873527092292
