Price,Adj Close,Close,High,Low,Open,Volume,Daily_Return,Rolling_Mean_20,Rolling_STD_20,Close_Scaled
Ticker,SPY,SPY,SPY,SPY,SPY,SPY,SPY,SPY,SPY,SPY
Date,,,,,,,,,,
2023-09-14,433.876220703125,450.3599853515625,451.0799865722656,447.7200012207031,449.07000732421875,83430800,0.008622372403159329,444.58900146484376,5.169142141631185,0.46383794563483305
2023-09-15,428.6487121582031,443.3699951171875,447.4800109863281,442.9200134277344,447.1400146484375,111848900,-0.015520895420845227,444.94300079345703,4.800147813649996,0.4517174862132869
2023-09-18,428.9001770019531,443.6300048828125,444.9700012207031,442.55999755859375,443.04998779296875,55752200,0.0005864396970667318,445.2995010375977,4.387091165576336,0.45216833631576137
2023-09-19,428.0106201171875,442.7099914550781,443.2900085449219,439.94000244140625,442.67999267578125,66514600,-0.0020738304839804655,445.468000793457,4.2071795106642655,0.45057305720316776
2023-09-20,424.07574462890625,438.6400146484375,444.44000244140625,438.42999267578125,444.010009765625,82562600,-0.009193324942280201,445.4925018310547,4.163519469591499,0.4435158243491175
2023-09-21,417.0664978027344,431.3900146484375,435.9700012207031,431.2300109863281,435.70001220703125,104095800,-0.016528359834683037,444.9105026245117,5.208317007831836,0.430944514825097
2023-09-22,416.1286926269531,430.4200134277344,434.1000061035156,429.989990234375,432.45001220703125,100829700,-0.0022485481530990503,444.5870025634766,5.889141475386019,0.42926255819280223
2023-09-25,417.8786315917969,432.2300109863281,432.2699890136719,428.7200012207031,429.1700134277344,70874500,0.004205189122549191,444.2000030517578,6.437312801661537,0.4324010464061545
2023-09-26,411.7394104003906,425.8800048828125,429.82000732421875,425.0199890136719,429.0899963378906,96168400,-0.014691266090073651,443.3560028076172,7.631799642997132,0.4213903026535042
2023-09-27,411.9038391113281,426.04998779296875,427.6700134277344,422.2900085449219,427.0899963378906,104705800,0.00039913334321250993,442.2005020141602,8.415996792202568,0.4216850485538308
2023-09-28,414.29168701171875,428.5199890136719,430.25,424.8699951171875,425.4800109863281,92258300,0.005797444646104211,441.0760009765625,8.6754644819781,0.4259679657773022
2023-09-29,413.28631591796875,427.4800109863281,431.8500061035156,425.9100036621094,431.6700134277344,115111300,-0.0024269066881511536,439.9325012207031,8.89323200520618,0.4241646712007616
2023-10-02,413.12200927734375,427.30999755859375,428.6000061035156,424.4599914550781,426.6199951171875,83798600,-0.00039771082475204,438.7385009765625,8.90530731103582,0.4238698723837564
2023-10-03,407.59185791015625,421.5899963378906,427.3699951171875,420.17999267578125,425.05999755859375,103760600,-0.013386069255070021,437.35600128173826,9.32554300482692,0.41395154054606886
2023-10-04,410.5599670410156,424.6600036621094,425.42999267578125,420.55999755859375,422.07000732421875,87453000,0.007281973839242228,436.2780014038086,9.49161813132214,0.4192748525893466
2023-10-05,410.4052734375,424.5,425.3699951171875,421.1700134277344,424.3599853515625,70142700,-0.0003767806262175988,435.2605010986328,9.614302381407782,0.418997410442953
2023-10-06,415.27789306640625,429.5400085449219,431.1300048828125,420.6000061035156,421.9700012207031,113273300,0.011872811648814707,434.4615020751953,9.37791456261635,0.4277366528459766
2023-10-09,417.9366149902344,432.2900085449219,432.8800048828125,427.010009765625,427.5799865722656,80374400,0.00640219757250482,433.6535018920898,8.786772450548101,0.4325050805964672
2023-10-10,420.1119689941406,434.5400085449219,437.2200012207031,432.5299987792969,432.94000244140625,78607300,0.00520483924107662,433.0810028076172,8.300227889224903,0.4364065214832322
2023-10-11,421.8327941894531,436.32000732421875,436.5799865722656,433.17999267578125,435.6400146484375,62451700,0.004096282837700693,432.5715026855469,7.725361487508259,0.43949299260142805
2023-10-12,419.2611389160156,433.6600036621094,437.3399963378906,431.2300109863281,436.95001220703125,81154200,-0.006096451268467251,431.7365036010742,6.5081052361704215,0.4348806161364066
2023-10-13,417.1728515625,431.5,436.45001220703125,429.8800048828125,435.2099914550781,95143100,-0.004980868984616693,431.1430038452148,5.904620008407644,0.4311352265351108
2023-10-16,421.56207275390625,436.0400085449219,437.1400146484375,433.57000732421875,433.82000732421875,75433200,0.010521456651035654,430.7635040283203,5.269581374193097,0.4390074820744089
2023-10-17,421.5427551269531,436.0199890136719,438.1400146484375,432.45001220703125,432.80999755859375,75324700,-4.591214305493807e-05,430.42900390625,4.646875210718827,0.43897276873318547
2023-10-18,415.9256591796875,430.2099914550781,435.17999267578125,429.0899963378906,434.19000244140625,93559800,-0.013325071567788949,430.007502746582,4.226168724988251,0.4288983856100288
2023-10-19,412.2712097167969,426.42999267578125,432.82000732421875,425.7300109863281,430.95001220703125,121323000,-0.008786403975676982,429.7595016479492,4.285880662427103,0.4223439670369308
2023-10-20,407.2051696777344,421.19000244140625,426.5400085449219,421.0799865722656,425.9800109863281,123919900,-0.01228804334679856,429.2980010986328,4.688996490654885,0.4132579616384241
